attack,is_succ,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,file_name,csv_name,dataset_name,model_name,x_test_size,correct_size,adv_size,success_rate,second_image,avg_l2,avg_l1,avg_linf,avg_mse,avg_uqi,avg_ergas,avg_sam,avg_scc,avg_vifp,avg_rase,avg_psnrb
pgd,True,,100,500,0.1,,,,,,,,,,,pgd0.1100_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.2696657109260559,4.154611954969519,209.69660159840302,0.10000002384185791,0.005625462390709979,0.9781139594523838,8635.28651505141,0.15464512451299378,0.5013413341158968,0.9414720673046285,1242.9092917570117,22.323693242181513
pgd,False,,100.0,500,0.1,,,,,,,,,,,pgd0.1100_miss,gen_list_pgd,cifar,conv12,100,85,0,1.0,0.2696657109260559,0.0,0.0,0.0,,,,,,,,22.323693242181513
pgd,True,,100.0,500,0.03,,,,,,,,,,,pgd0.03100_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.09115345001220704,1.4054726923213285,73.5778642093434,0.030000001192092896,0.0006435642706430226,0.9968333657173555,2951.523285954462,0.05290648474179297,0.807623548878082,0.9831282337764562,424.9766278623135,30.832415375758426
pgd,False,,100.0,500,0.03,,,,,,,,,,,pgd0.03100_miss,gen_list_pgd,cifar,conv12,100,85,0,1.0,0.09115345001220704,0.0,0.0,0.0,,,,,,,,30.832415375758426
pgd,True,,100.0,500,0.05,,,,,,,,,,,pgd0.05100_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.09017960786819458,2.247227935230031,115.82758492862477,0.050000011920928955,0.0016454839200860214,0.992644243819855,4702.8313106124415,0.08443507229496604,0.694189406836489,0.9690508619423883,677.0549867730311,27.26849974154952
pgd,False,,100.0,500,0.05,,,,,,,,,,,pgd0.05100_miss,gen_list_pgd,cifar,conv12,100,85,0,1.0,0.09017960786819458,0.0,0.0,0.0,,,,,,,,27.26849974154952
pgd,True,,100.0,500,0.07,,,,,,,,,,,pgd0.07100_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.09304441690444946,3.016252436357386,153.69372145708869,0.07000002264976501,0.002964368476153355,0.9876294672908751,6286.6772889001995,0.11293997473598674,0.604830124679793,0.9573532318594342,904.7855436516188,24.93734163079069
pgd,False,,100.0,500,0.07,,,,,,,,,,,pgd0.07100_miss,gen_list_pgd,cifar,conv12,100,85,0,1.0,0.09304441690444946,0.0,0.0,0.0,,,,,,,,24.93734163079069
pgd,True,,100.0,500,0.09,,,,,,,,,,,pgd0.09100_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.09056540727615356,3.771782266392427,190.59825349695544,0.09000003337860107,0.004635809298185814,0.9815694181273689,7856.181660240559,0.14075546984756887,0.5313767626870952,0.9398646922823599,1130.9549269725703,23.158890101857217
pgd,False,,100.0,500,0.09,,,,,,,,,,,pgd0.09100_miss,gen_list_pgd,cifar,conv12,100,85,0,1.0,0.09056540727615356,0.0,0.0,0.0,,,,,,,,23.158890101857217
pgd,True,,100.0,500,1.0,,,,,,,,,,,pgd1.0100_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.0943300199508667,25.609962665333466,1197.2544232536766,0.9697055893785813,0.21482642787148695,0.6254636837786145,54451.74599098373,0.7749631914414328,0.017419874185709568,0.08837480912269462,7848.527801660593,6.77773782274937
pgd,False,,100.0,500,1.0,,,,,,,,,,,pgd1.0100_miss,gen_list_pgd,cifar,conv12,100,85,0,1.0,0.0943300199508667,0.0,0.0,0.0,,,,,,,,6.77773782274937
pgd,True,,100.0,500,3.0,,,,,,,,,,,pgd3.0100_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.09569628238677978,25.725419863532572,1205.1992647058823,0.9715801631703096,0.21681625179995415,0.6219888990351027,54643.20668002788,0.7777299287888682,0.004095258482942669,0.07947451489910676,7878.074735747568,6.736376920942798
pgd,False,,100.0,500,3.0,,,,,,,,,,,pgd3.0100_miss,gen_list_pgd,cifar,conv12,100,85,0,1.0,0.09569628238677978,0.0,0.0,0.0,,,,,,,,6.736376920942798
pgd,True,,100.0,500,5.0,,,,,,,,,,,pgd5.0100_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.09515575408935546,25.882623919318704,1212.6951933019302,0.9702858966939589,0.21946463633566413,0.6169646554483373,55338.77610172168,0.7824634705069998,-0.00011339581417429273,0.0696224409820703,7980.050891340778,6.67484788670524
pgd,False,,100.0,500,5.0,,,,,,,,,,,pgd5.0100_miss,gen_list_pgd,cifar,conv12,100,85,0,1.0,0.09515575408935546,0.0,0.0,0.0,,,,,,,,6.67484788670524
pgd,True,,100.0,500,7.0,,,,,,,,,,,pgd7.0100_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.09717238426208497,25.86971971848432,1212.4739013671874,0.9706591529004714,0.21917578123425255,0.6189457868935405,54956.819872313725,0.7825044181909334,0.003563021202534786,0.07122182936188715,7927.502415478622,6.690894619241201
pgd,False,,100.0,500,7.0,,,,,,,,,,,pgd7.0100_miss,gen_list_pgd,cifar,conv12,100,85,0,1.0,0.09717238426208497,0.0,0.0,0.0,,,,,,,,6.690894619241201
pgd,True,,100.0,500,9.0,,,,,,,,,,,pgd9.0100_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.09907496452331543,25.755430872300092,1206.1469669117646,0.9729214962790994,0.21738214853135923,0.6208086021376072,54933.09298772616,0.7806363258817567,0.003745118275440487,0.07116941333279955,7920.058252348311,6.754694475055719
pgd,False,,100.0,500,9.0,,,,,,,,,,,pgd9.0100_miss,gen_list_pgd,cifar,conv12,100,85,0,1.0,0.09907496452331543,0.0,0.0,0.0,,,,,,,,6.754694475055719
pgd,True,,10.0,500,0.1,,,,,,,,,,,pgd0.110_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.011353218555450439,3.8411544070524326,186.4889923095703,0.10000002384185791,0.00480571445296631,0.9807303430384716,8052.758956946693,0.14311285263440054,0.5354349536316033,0.9655598849505549,1159.3002442991092,22.98346238109158
pgd,False,,10.0,500,0.1,,,,,,,,,,,pgd0.110_miss,gen_list_pgd,cifar,conv12,100,85,0,1.0,0.011353218555450439,0.0,0.0,0.0,,,,,,,,22.98346238109158
pgd,True,,30.0,500,0.1,,,,,,,,,,,pgd0.130_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.030256316661834717,3.9028301323161405,193.27671490837545,0.10000002384185791,0.004961779511672339,0.9804453277089512,8134.064389281107,0.14523678745330323,0.5282979222476054,0.9535182864608025,1170.9054935692004,22.836033375259454
pgd,False,,30.0,500,0.1,,,,,,,,,,,pgd0.130_miss,gen_list_pgd,cifar,conv12,100,85,0,1.0,0.030256316661834717,0.0,0.0,0.0,,,,,,,,22.836033375259454
pgd,True,,50.0,500,0.1,,,,,,,,,,,pgd0.150_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.04686515808105469,3.9778765201568604,198.2542537913603,0.10000002384185791,0.0051560645562618605,0.9797415804724543,8286.321561290872,0.14813980649022318,0.5166482811697488,0.9452632627789651,1192.7525579547644,22.696285106767622
pgd,False,,50.0,500,0.1,,,,,,,,,,,pgd0.150_miss,gen_list_pgd,cifar,conv12,100,85,0,1.0,0.04686515808105469,0.0,0.0,0.0,,,,,,,,22.696285106767622
pgd,True,,70.0,500,0.1,,,,,,,,,,,pgd0.170_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.06465981721878052,4.085428193036248,205.80388668284698,0.10000002384185791,0.005438599409319991,0.9787779400305668,8491.543381558531,0.1521202148288483,0.5111909793500619,0.9432308538968387,1222.3591518584883,22.437940814540685
pgd,False,,70.0,500,0.1,,,,,,,,,,,pgd0.170_miss,gen_list_pgd,cifar,conv12,100,85,0,1.0,0.06465981721878052,0.0,0.0,0.0,,,,,,,,22.437940814540685
pgd,True,,90.0,500,0.1,,,,,,,,,,,pgd0.190_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.08482598543167114,4.1380022890427535,208.67220458984374,0.10000002384185791,0.005580015536682329,0.978348776926857,8598.206856246547,0.15394258050407417,0.5050817066367248,0.933518898733937,1237.446363329039,22.356944965610005
pgd,False,,90.0,500,0.1,,,,,,,,,,,pgd0.190_miss,gen_list_pgd,cifar,conv12,100,85,0,1.0,0.08482598543167114,0.0,0.0,0.0,,,,,,,,22.356944965610005
pgd,True,,100.0,500,0.1,,,,,,,,,,,pgd0.1100_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.09421181201934814,4.140795180376839,208.6777823055492,0.10000002384185791,0.0055875790519141575,0.9782428320480114,8635.140729117204,0.15415526698029972,0.504888927693599,0.9419868795921348,1242.6706281678282,22.325578649761333
pgd,False,,100.0,500,0.1,,,,,,,,,,,pgd0.1100_miss,gen_list_pgd,cifar,conv12,100,85,0,1.0,0.09421181201934814,0.0,0.0,0.0,,,,,,,,22.325578649761333
pgd,True,,150.0,500,0.1,,,,,,,,,,,pgd0.1150_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.13777105808258056,4.28293376529918,217.052248247932,0.10000002384185791,0.005977320988696791,0.9769269262394398,8909.78396987233,0.1592979288211492,0.4936795957106451,0.9361813181632651,1282.6035518089743,22.06122683474592
pgd,False,,150.0,500,0.1,,,,,,,,,,,pgd0.1150_miss,gen_list_pgd,cifar,conv12,100,85,0,1.0,0.13777105808258056,0.0,0.0,0.0,,,,,,,,22.06122683474592
pgd,True,,200.0,500,0.1,,,,,,,,,,,pgd0.1200_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.183293137550354,4.397782471600701,223.57406418744256,0.10000002384185791,0.0063014013283779055,0.9755888748171672,9170.61698919647,0.163794929042623,0.4792950285085189,0.9279675080065437,1319.9536209009643,21.80461595447979
pgd,False,,200.0,500,0.1,,,,,,,,,,,pgd0.1200_miss,gen_list_pgd,cifar,conv12,100,85,0,1.0,0.183293137550354,0.0,0.0,0.0,,,,,,,,21.80461595447979
pgd,True,,300.0,500,0.1,,,,,,,,,,,pgd0.1300_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.27786462545394897,4.466664454516242,227.5074015897863,0.10000002384185791,0.00649973144763848,0.9749631440268092,9318.365816584064,0.16617966475773535,0.47361088403705315,0.9330248989540014,1341.0696148504223,21.727155647415024
pgd,False,,300.0,500,0.1,,,,,,,,,,,pgd0.1300_miss,gen_list_pgd,cifar,conv12,100,85,0,1.0,0.27786462545394897,0.0,0.0,0.0,,,,,,,,21.727155647415024
