attack,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial
uni,,100.0,500,0.09,,0.2,2,,,,,,,
uni,,100.0,500,1,,0.2,2,,,,,,,
uni,,100.0,500,3,,0.2,2,,,,,,,
uni,,100.0,500,5,,0.2,2,,,,,,,
uni,,100.0,500,7,,0.2,2,,,,,,,
