attack,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,sample_size,num_trial
jsma,,,500,,,,,1,1,,,,,,
jsma,,,500,,,,,2,1,,,,,,
jsma,,,500,,,,,3,1,,,,,,
jsma,,,500,,,,,4,1,,,,,,
jsma,,,500,,,,,5,1,,,,,,
jsma,,,500,,,,,6,1,,,,,,
jsma,,,500,,,,,7,1,,,,,,
jsma,,,500,,,,,8,1,,,,,,
