attack,is_succ,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,csv_name,file_name,csv_name,dataset_name,model_name,x_test_size,correct_size,adv_size,success_rate,second_image,sample_size,avg_l2,avg_l1,avg_linf,avg_mse,avg_uqi,avg_ergas,avg_sam,avg_scc,avg_vifp,avg_rase,avg_psnrb
hopskip,True,,50,500,,,,,,,,20000,100,100,,,hopskipnan5020000100100_succ,gen_list_hopskip,cifar,conv12,100,85,85,1,10.149332575798034,,0.16383218913223663,6.508325312527663,0.01865252043463229,1.3209479122334374e-05,0.9999324171935206,363.4440675972925,0.005966142109603425,0.9852218257757104,0.9984610827852417,52.256489936691686,48.05433765970317
hopskip,False,,50,500,,,,,,,,20000,100,100,,,hopskipnan5020000100100_miss,gen_list_hopskip,cifar,conv12,100,85,0,1.0,10.149332575798034,,0.0,0.0,0.0,,,,,,,,48.05433765970317
hopskip,True,,50,500,,,,,,,,18000,100,100,,,hopskipnan5018000100100_succ,gen_list_hopskip,cifar,conv12,100,85,85,1.0,8.820846710205078,,0.1653790828612568,6.557418381996327,0.01960608852689929,1.3574447270243514e-05,0.9999235444033984,374.27833753665993,0.0061912235578762895,0.9853917976659138,0.9984247228523018,53.81192249780594,48.003566380459624
hopskip,False,,50,500,,,,,,,,18000,100,100,,,hopskipnan5018000100100_miss,gen_list_hopskip,cifar,conv12,100,85,0,1.0,8.820846710205078,,0.0,0.0,0.0,,,,,,,,48.003566380459624
hopskip,True,,50,500,,,,,,,,12000,100,100,,,hopskipnan5012000100100_succ,gen_list_hopskip,cifar,conv12,100,85,85,1.0,8.466479947566986,,0.15907521748832865,6.339218909735953,0.018492522988868013,1.2808286082583394e-05,0.9999334163580396,352.6424551377615,0.005816838172685548,0.9852784684872716,0.9985303053904434,50.71340700972692,48.501368836449814
hopskip,False,,50,500,,,,,,,,12000,100,100,,,hopskipnan5012000100100_miss,gen_list_hopskip,cifar,conv12,100,85,0,1.0,8.466479947566986,,0.0,0.0,0.0,,,,,,,,48.501368836449814
hopskip,True,,50,500,,,,,,,,10000,100,100,,,hopskipnan5010000100100_succ,gen_list_hopskip,cifar,conv12,100,85,85,1.0,8.56786290884018,,0.15814207988972337,6.294049955822547,0.018496488990925992,1.2954158567689398e-05,0.999931309083446,354.5970056917599,0.005836203782878561,0.9866315655299184,0.9985825468561116,50.97876827616435,48.5733019276718
hopskip,False,,50,500,,,,,,,,10000,100,100,,,hopskipnan5010000100100_miss,gen_list_hopskip,cifar,conv12,100,85,0,1.0,8.56786290884018,,0.0,0.0,0.0,,,,,,,,48.5733019276718
hopskip,True,,50,500,,,,,,,,8000,100,100,,,hopskipnan508000100100_succ,gen_list_hopskip,cifar,conv12,100,85,85,1.0,8.77597795009613,,0.16663571280341113,6.60235654210732,0.019906297397070408,1.3947297095527542e-05,0.9999255270544557,369.61971979936243,0.0061485063896091555,0.9862286083826891,0.9983943544799522,53.162559974397375,48.083357223595144
hopskip,False,,50,500,,,,,,,,8000,100,100,,,hopskipnan508000100100_miss,gen_list_hopskip,cifar,conv12,100,85,0,1.0,8.77597795009613,,0.0,0.0,0.0,,,,,,,,48.083357223595144
hopskip,True,,50,500,,,,,,,,4000,100,100,,,hopskipnan504000100100_succ,gen_list_hopskip,cifar,conv12,100,85,85,1.0,8.774929897785187,,0.16322711578788332,6.502923928991658,0.018890434230625145,1.2930163395597194e-05,0.9999259632808123,366.04862693229745,0.006069562450362599,0.9854918818041389,0.9984263422519006,52.62198804332938,48.247281360410305
hopskip,False,,50,500,,,,,,,,4000,100,100,,,hopskipnan504000100100_miss,gen_list_hopskip,cifar,conv12,100,85,0,1.0,8.774929897785187,,0.0,0.0,0.0,,,,,,,,48.247281360410305
hopskip,True,,50,500,,,,,,,,1000,100,100,,,hopskipnan501000100100_succ,gen_list_hopskip,cifar,conv12,100,85,85,1.0,8.760839037895202,,0.15613344166415444,6.209814757344091,0.017844685900616948,1.2306773801940084e-05,0.9999380736580623,345.3125171617612,0.005691950241449061,0.9854588388005574,0.9985404017794396,49.6648002380375,48.48015071331152
hopskip,False,,50,500,,,,,,,,1000,100,100,,,hopskipnan501000100100_miss,gen_list_hopskip,cifar,conv12,100,85,0,1.0,8.760839037895202,,0.0,0.0,0.0,,,,,,,,48.48015071331152
hopskip,True,,50,500,,,,,,,,500,100,100,,,hopskipnan50500100100_succ,gen_list_hopskip,cifar,conv12,100,85,85,1.0,8.242871091365814,,0.16805583659832207,6.72890935682587,0.01933427578283016,1.3996059827055834e-05,0.9999225972125054,373.85872394942226,0.006212450332511479,0.9831092023525855,0.9983456878093057,53.739881796248625,48.032611212055194
hopskip,False,,50,500,,,,,,,,500,100,100,,,hopskipnan50500100100_miss,gen_list_hopskip,cifar,conv12,100,85,0,1.0,8.242871091365814,,0.0,0.0,0.0,,,,,,,,48.032611212055194
hopskip,True,,50,500,,,,,,,,100,100,100,,,hopskipnan50100100100_succ,gen_list_hopskip,cifar,conv12,100,85,85,1.0,5.490447635650635,,0.21972390778885084,9.405083487959947,0.020738583500427215,2.442628256324124e-05,0.9998774315198531,478.39915454382856,0.008143568472009461,0.974400721918772,0.9968617199972203,68.84488275338694,46.392109739424356
hopskip,False,,50,500,,,,,,,,100,100,100,,,hopskipnan50100100100_miss,gen_list_hopskip,cifar,conv12,100,85,0,1.0,5.490447635650635,,0.0,0.0,0.0,,,,,,,,46.392109739424356
hopskip,True,,50,500,,,,,,,,10000,20,100,,,hopskipnan501000020100_succ,gen_list_hopskip,cifar,conv12,100,85,85,1.0,6.036997368335724,,0.23138147324451477,9.930534020039461,0.021876027991924316,2.8040443431913522e-05,0.9998659392592443,501.27695455957,0.008575158241070207,0.9734504401103946,0.9965114406837158,72.1147699187742,46.15118884333677
hopskip,False,,50,500,,,,,,,,10000,20,100,,,hopskipnan501000020100_miss,gen_list_hopskip,cifar,conv12,100,85,0,1.0,6.036997368335724,,0.0,0.0,0.0,,,,,,,,46.15118884333677
hopskip,True,,50,500,,,,,,,,10000,40,100,,,hopskipnan501000040100_succ,gen_list_hopskip,cifar,conv12,100,85,85,1.0,42.294054515361786,,0.1887772980319743,7.870466557713597,0.019776436073711986,1.8268724493727278e-05,0.9998902260852739,429.0016494406471,0.007172248677528133,0.9799363141706013,0.9974135865849091,61.66354385354069,47.226881615321844
hopskip,False,,50,500,,,,,,,,10000,40,100,,,hopskipnan501000040100_miss,gen_list_hopskip,cifar,conv12,100,85,0,1.0,42.294054515361786,,0.0,0.0,0.0,,,,,,,,47.226881615321844
hopskip,True,,50,500,,,,,,,,10000,60,100,,,hopskipnan501000060100_succ,gen_list_hopskip,cifar,conv12,100,85,85,1.0,6.51483540058136,,0.16971308185844908,6.909700659426034,0.01860101417274211,1.4534509341303861e-05,0.9999250423358131,375.71674889237414,0.006221021566704942,0.9829182467301113,0.9981432288169042,54.04140669173615,48.02749153599891
hopskip,False,,50,500,,,,,,,,10000,60,100,,,hopskipnan501000060100_miss,gen_list_hopskip,cifar,conv12,100,85,0,1.0,6.51483540058136,,0.0,0.0,0.0,,,,,,,,48.02749153599891
hopskip,True,,50,500,,,,,,,,10000,80,100,,,hopskipnan501000080100_succ,gen_list_hopskip,cifar,conv12,100,85,85,1.0,7.752643294334412,,0.15988768340770712,6.430867083432703,0.01832620936822933,1.2533696819521904e-05,0.9999329346981422,356.8395593119987,0.005869590848596179,0.9844490289948553,0.9984737704976516,51.31221484553907,48.2854239022997
hopskip,False,,50,500,,,,,,,,10000,80,100,,,hopskipnan501000080100_miss,gen_list_hopskip,cifar,conv12,100,85,0,1.0,7.752643294334412,,0.0,0.0,0.0,,,,,,,,48.2854239022997
hopskip,True,,50,500,,,,,,,,10000,100,100,,,hopskipnan5010000100100_succ,gen_list_hopskip,cifar,conv12,100,85,85,1.0,8.570025267601013,,0.1607719000616055,6.404077572781141,0.019063145808420105,1.314215774587607e-05,0.9999320521726212,357.50563206147984,0.005884648982774115,0.9857854417931652,0.9984965909255173,51.412678101811444,48.46982558209135
hopskip,False,,50,500,,,,,,,,10000,100,100,,,hopskipnan5010000100100_miss,gen_list_hopskip,cifar,conv12,100,85,0,1.0,8.570025267601013,,0.0,0.0,0.0,,,,,,,,48.46982558209135
hopskip,True,,50,500,,,,,,,,10000,200,100,,,hopskipnan5010000200100_succ,gen_list_hopskip,cifar,conv12,100,85,85,1.0,13.137931928634643,,0.1498011439644341,5.792940495378372,0.01776080864686798,1.063943402086124e-05,0.9999405648360032,335.7237290550524,0.005491958812802281,0.9877337715784824,0.9988846303808433,48.26329662814152,48.69502686308887
hopskip,False,,50,500,,,,,,,,10000,200,100,,,hopskipnan5010000200100_miss,gen_list_hopskip,cifar,conv12,100,85,0,1.0,13.137931928634643,,0.0,0.0,0.0,,,,,,,,48.69502686308887
hopskip,True,,50,500,,,,,,,,10000,100,20,,,hopskipnan501000010020_succ,gen_list_hopskip,cifar,conv12,100,85,84,0.9882352941176471,8.192588536739349,,0.16685314335593257,6.644385979769216,0.019116080842780016,1.3682082037286185e-05,0.9999286798974252,370.4270446952622,0.006124837793966584,0.983990987179201,0.9985764774914061,53.26548719569558,47.97355544937976
hopskip,False,,50,500,,,,,,,,10000,100,20,,,hopskipnan501000010020_miss,gen_list_hopskip,cifar,conv12,100,85,1,0.9882352941176471,8.192588536739349,,5.237008897438638e-07,1.809389385060145e-05,2.9685450542160652e-08,8.927819723909981e-17,0.9999999999999994,0.0018399933146852196,2.5155619294673102e-08,0.9999999999999969,1.000000035148975,0.00026273305144021035,47.97355544937976
hopskip,True,,50,500,,,,,,,,10000,100,40,,,hopskipnan501000010040_succ,gen_list_hopskip,cifar,conv12,100,85,85,1.0,43.88082788944244,,0.16459447577539996,6.5395510742679095,0.019241247407602188,1.3600541675752841e-05,0.9999229765440485,374.10623087174923,0.00618555116505131,0.9858643671928208,0.9985859024310899,53.76944044190845,48.184284389812234
hopskip,False,,50,500,,,,,,,,10000,100,40,,,hopskipnan501000010040_miss,gen_list_hopskip,cifar,conv12,100,85,0,1.0,43.88082788944244,,0.0,0.0,0.0,,,,,,,,48.184284389812234
hopskip,True,,50,500,,,,,,,,10000,100,60,,,hopskipnan501000010060_succ,gen_list_hopskip,cifar,conv12,100,85,85,1.0,8.442643678188324,,0.1568324956999968,6.253754862482498,0.017853845620169086,1.2460554090472294e-05,0.9999313813566684,352.9320319382824,0.005728435485274906,0.9862079666479844,0.9987047263698499,50.755265234802586,48.553638517904126
hopskip,False,,50,500,,,,,,,,10000,100,60,,,hopskipnan501000010060_miss,gen_list_hopskip,cifar,conv12,100,85,0,1.0,8.442643678188324,,0.0,0.0,0.0,,,,,,,,48.553638517904126
