attack,is_succ,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,file_name,csv_name,dataset_name,model_name,x_test_size,correct_size,adv_size,success_rate,second_image,avg_l2,avg_l1,avg_linf,avg_mse,avg_uqi,avg_ergas,avg_sam,avg_scc,avg_vifp,avg_rase,avg_psnrb,magnet_det_rate,squeezer_det_rate
elastic,True,0.1,10.0,500,,,,,,,,,,,,elastic100.1_succ,gen_list_elastic_2,cifar,conv12,100,85,85,1.0,2.8115782237052915,0.1473768694267957,2.878072183553749,0.0282745840503579,9.757472881831542e-06,0.9999441769923912,325.5387941985711,0.0053629611497058,0.9950183858571654,0.999502729793191,46.76949449634812,48.48369665676654,0.10588235294117647,0.08235294117647059
elastic,True,0.1,30.0,500,,,,,,,,,,,,elastic300.1_succ,gen_list_elastic_2,cifar,conv12,100,85,85,1.0,7.962328495979309,0.1560848173134071,2.6395718943464326,0.0342061391964365,1.087698423545638e-05,0.99994046175757,335.2365478214003,0.0056261976390559,0.994880572148128,0.9994819287528882,48.155695561520126,48.07772708634484,0.09411764705882353,0.09411764705882353
elastic,True,5.0,1000.0,500,,,,,,,,,,,,elastic10005.0_succ,gen_list_elastic_2,cifar,conv12,100,85,85,1.0,269.93989519357683,0.1647925257929911,2.7219790940361897,0.0390482213285417,1.2255145576962088e-05,0.9999326793105434,351.8051212562121,0.0059112122631791,0.9946054238937916,0.9995083496328172,50.53185427571287,47.91688656408376,0.09411764705882353,0.10588235294117647
elastic,True,10.0,2000.0,500,,,,,,,,,,,,elastic200010.0_succ,gen_list_elastic_2,cifar,conv12,100,85,85,1.0,516.3768209671974,0.1657566028748502,2.631500824004356,0.039661381600431,1.2487997108654722e-05,0.9999311635485386,354.1405577859007,0.0059330645703381,0.9948202027611546,0.9995225162924748,50.86969287055122,47.96616580484427,0.10588235294117647,0.10588235294117647
