attack,is_succ,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,file_name,csv_name,dataset_name,model_name,x_test_size,correct_size,adv_size,success_rate,second_image,avg_l2,avg_l1,avg_linf,avg_mse,avg_uqi,avg_ergas,avg_sam,avg_scc,avg_vifp,avg_rase,avg_psnrb,magnet_det_rate,squeezer_det_rate
boundary,True,,5000,500,0.01,,0.01,,,,,,,,25,boundary50000.010.0125_succ,gen_list_boundary,cifar,conv12,100,85,84,0.9882352941176472,70.43270267009736,0.1361458703519981,5.198959533457495,0.0163650755355713,9.158728860456736e-06,0.9999507151068886,304.34228820547787,0.0049721824615486,0.9884238630363608,0.999182228371536,43.75469286516596,49.36763816841447,0.20987654320987653,0.20987654320987653
boundary,True,,4500,500,0.01,,0.01,,,,,,,,25,boundary45000.010.0125_succ,gen_list_boundary,cifar,conv12,100,85,84,0.9882352941176472,65.28921558856965,0.1357351495431107,5.185467435061904,0.016532773528088,8.896902069927854e-06,0.9999525649169572,302.03710257136635,0.0049552374493581,0.9892196376767838,0.9991784120787944,43.42563079694028,49.37743268869277,0.2261904761904762,0.19047619047619047
boundary,True,,4000,500,0.01,,0.01,,,,,,,,25,boundary40000.010.0125_succ,gen_list_boundary,cifar,conv12,100,85,84,0.9882352941176472,59.7266179728508,0.1360258317966544,5.239138749344265,0.016934900054835,9.398780098004364e-06,0.9999439654056363,309.16017977368205,0.0050946241109829,0.9903301185841374,0.999122012288725,44.43272760142949,49.66949733264974,0.19047619047619047,0.19047619047619047
boundary,True,,3500,500,0.01,,0.01,,,,,,,,25,boundary35000.010.0125_succ,gen_list_boundary,cifar,conv12,100,85,84,0.9882352941176472,54.56017080068588,0.1384206019104469,5.39780338272824,0.0162193948733442,9.274811170661025e-06,0.9999534793059563,304.34607272730216,0.0050525611632353,0.988488983218461,0.9990801275806964,43.76152024482421,49.582233913889546,0.20238095238095238,0.20238095238095238
boundary,True,,3000,500,0.01,,0.01,,,,,,,,25,boundary30000.010.0125_succ,gen_list_boundary,cifar,conv12,100,85,82,0.9647058823529412,46.83021267652512,0.1414863976012997,5.561157254775253,0.0171471950904938,1.0160968807205032e-05,0.9999483300518852,312.77016236466795,0.0051559882715195,0.9878724299213678,0.9989999423853004,44.98279147391391,49.10289670863741,0.21951219512195122,0.17073170731707318
boundary,True,,2500,500,0.01,,0.01,,,,,,,,25,boundary25000.010.0125_succ,gen_list_boundary,cifar,conv12,100,85,85,1.0,40.0359091758728,0.1426846062685967,5.712488269401174,0.0165255001610125,9.200605246908146e-06,0.999951864531918,315.93873740703367,0.0052015573709497,0.9864332746900134,0.9992847159972686,45.43360996747073,48.93564167578241,0.21176470588235294,0.17647058823529413
boundary,True,,2000,500,0.01,,0.01,,,,,,,,25,boundary20000.010.0125_succ,gen_list_boundary,cifar,conv12,100,85,85,1.0,33.297198243141175,0.1640542222030999,6.724865855522081,0.0182903900614487,1.361701115161905e-05,0.9999317477824716,361.2992428546025,0.0060266407625056,0.9841010025766675,0.99876774845665,51.97002441355734,48.32114477262964,0.2,0.21176470588235294
boundary,True,,1500,500,0.01,,0.01,,,,,,,,25,boundary15000.010.0125_succ,gen_list_boundary,cifar,conv12,100,85,85,1.0,24.8792991232872,0.1721744097626663,7.2039304164163545,0.0180384548078908,1.4680520797604817e-05,0.9999302582513288,376.02184687836944,0.0063263568737933,0.9820740093118124,0.9989224724149194,54.099091938651455,47.89910654138037,0.18823529411764706,0.21176470588235294
boundary,True,,1000,500,0.01,,0.01,,,,,,,,25,boundary10000.010.0125_succ,gen_list_boundary,cifar,conv12,100,85,85,1.0,17.695223453044893,0.1991855948613217,8.521215679658328,0.0185841906353435,1.896541572459075e-05,0.999910256547864,429.6550397761568,0.0073230321122523,0.9772004403424324,0.9985894786329248,61.83703636543462,46.9610393815467,0.21176470588235294,0.12941176470588237
boundary,True,,500,500,0.01,,0.01,,,,,,,,25,boundary5000.010.0125_succ,gen_list_boundary,cifar,conv12,100,85,85,1.0,8.548604187965394,0.2941860240047783,12.857229504277472,0.0235665610374188,4.572476487329183e-05,0.9997933805490904,625.9964533228006,0.011038193338461,0.9634161962862972,0.996564417598593,90.09969924119996,44.51050228856492,0.18823529411764706,0.17647058823529413
