attack,is_succ,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,file_name,csv_name,dataset_name,model_name,x_test_size,correct_size,adv_size,success_rate,second_image,avg_l2,avg_l1,avg_linf,avg_mse,avg_uqi,avg_ergas,avg_sam,avg_scc,avg_vifp,avg_rase,avg_psnrb
boundary,True,,5000,500,1e-02,,0.01,,,,,,,,25,boundary50000.010.0125_succ,gen_list_boundary,cifar,conv12,100,85,84,0.9882352941176471,70.43270267009736,0.13614587035199816,5.198959533457495,0.016365075535571375,9.158728860456736e-06,0.9999507151068886,304.34228820547787,0.0049721824615486625,0.9884238630363607,0.999182228371536,43.75469286516596,49.367638168414466
boundary,False,,5000,500,0.01,,0.01,,,,,,,,25,boundary50000.010.0125_miss,gen_list_boundary,cifar,conv12,100,85,1,0.9882352941176471,70.43270267009736,0.07750301920076937,2.8860892691740796,0.008392961352479245,1.9553118441519614e-06,0.9999922425267317,154.55927270976468,0.002271982548376896,0.999687482835666,0.9998861341227888,22.36616172780981,49.367638168414466
boundary,True,,4500,500,0.01,,0.01,,,,,,,,25,boundary45000.010.0125_succ,gen_list_boundary,cifar,conv12,100,85,84,0.9882352941176471,65.28921558856965,0.13573514954311075,5.185467435061904,0.01653277352808807,8.896902069927854e-06,0.9999525649169573,302.03710257136635,0.004955237449358179,0.9892196376767838,0.9991784120787945,43.42563079694028,49.37743268869277
boundary,False,,4500,500,0.01,,0.01,,,,,,,,25,boundary45000.010.0125_miss,gen_list_boundary,cifar,conv12,100,85,1,0.9882352941176471,65.28921558856965,0.10564380515641078,4.114646385960716,0.012016029918895055,3.6330122291424756e-06,0.999993724595473,146.02886662280739,0.0034082286097601483,0.9712995597908675,0.9992777955765968,21.076991098017494,49.37743268869277
boundary,True,,4000,500,0.01,,0.01,,,,,,,,25,boundary40000.010.0125_succ,gen_list_boundary,cifar,conv12,100,85,84,0.9882352941176471,59.726617972850796,0.1360258317966544,5.239138749344265,0.016934900054835073,9.398780098004364e-06,0.9999439654056365,309.16017977368205,0.005094624110982901,0.9903301185841374,0.999122012288725,44.43272760142949,49.66949733264974
boundary,False,,4000,500,0.01,,0.01,,,,,,,,25,boundary40000.010.0125_miss,gen_list_boundary,cifar,conv12,100,85,1,0.9882352941176471,59.726617972850796,0.15653068991578203,5.9163436223771075,0.019705125981686167,7.975864871585518e-06,0.9999834206727359,237.2423719959376,0.003097609063341038,0.9330091384673409,0.9978096547622607,34.225921910131426,49.66949733264974
boundary,True,,3500,500,0.01,,0.01,,,,,,,,25,boundary35000.010.0125_succ,gen_list_boundary,cifar,conv12,100,85,84,0.9882352941176471,54.56017080068588,0.1384206019104469,5.39780338272824,0.016219394873344208,9.274811170661023e-06,0.9999534793059565,304.34607272730216,0.005052561163235395,0.988488983218461,0.9990801275806963,43.761520244824204,49.582233913889546
boundary,False,,3500,500,0.01,,0.01,,,,,,,,25,boundary35000.010.0125_miss,gen_list_boundary,cifar,conv12,100,85,1,0.9882352941176471,54.56017080068588,0.035288200579890946,1.3220629356287128,0.004934730833651979,4.0535712896048696e-07,0.9999769001397466,218.3997271711247,0.0020191333200944455,0.9993924641831828,0.9998046778205528,31.395986997075934,49.582233913889546
boundary,True,,3000,500,0.01,,0.01,,,,,,,,25,boundary30000.010.0125_succ,gen_list_boundary,cifar,conv12,100,85,82,0.9647058823529412,46.830212676525115,0.1414863976012997,5.561157254775253,0.017147195090493877,1.0160968807205033e-05,0.9999483300518851,312.77016236466795,0.005155988271519528,0.9878724299213678,0.9989999423853004,44.98279147391391,49.10289670863741
boundary,False,,3000,500,0.01,,0.01,,,,,,,,25,boundary30000.010.0125_miss,gen_list_boundary,cifar,conv12,100,85,3,0.9647058823529412,46.830212676525115,0.12319685347739873,5.050210483976049,0.010646221294901706,8.280294757706985e-06,0.9999677362760441,247.8231137165105,0.00442756775356549,0.9973295873026015,0.9998368368496992,35.68251519542398,49.10289670863741
boundary,True,,2500,500,0.01,,0.01,,,,,,,,25,boundary25000.010.0125_succ,gen_list_boundary,cifar,conv12,100,85,85,1.0,40.0359091758728,0.14268460626859678,5.712488269401174,0.016525500161012566,9.200605246908146e-06,0.9999518645319181,315.93873740703367,0.005201557370949768,0.9864332746900134,0.9992847159972686,45.43360996747073,48.93564167578241
boundary,False,,2500,500,0.01,,0.01,,,,,,,,25,boundary25000.010.0125_miss,gen_list_boundary,cifar,conv12,100,85,0,1.0,40.0359091758728,0.0,0.0,0.0,,,,,,,,48.93564167578241
boundary,True,,2000,500,0.01,,0.01,,,,,,,,25,boundary20000.010.0125_succ,gen_list_boundary,cifar,conv12,100,85,85,1.0,33.297198243141175,0.16405422220309995,6.724865855522081,0.01829039006144873,1.361701115161905e-05,0.9999317477824715,361.2992428546025,0.006026640762505612,0.9841010025766677,0.99876774845665,51.97002441355734,48.32114477262964
boundary,False,,2000,500,0.01,,0.01,,,,,,,,25,boundary20000.010.0125_miss,gen_list_boundary,cifar,conv12,100,85,0,1.0,33.297198243141175,0.0,0.0,0.0,,,,,,,,48.32114477262964
boundary,True,,1500,500,0.01,,0.01,,,,,,,,25,boundary15000.010.0125_succ,gen_list_boundary,cifar,conv12,100,85,85,1.0,24.8792991232872,0.17217440976266637,7.2039304164163545,0.018038454807890885,1.4680520797604815e-05,0.9999302582513288,376.02184687836944,0.006326356873793338,0.9820740093118125,0.9989224724149194,54.099091938651455,47.89910654138037
boundary,False,,1500,500,0.01,,0.01,,,,,,,,25,boundary15000.010.0125_miss,gen_list_boundary,cifar,conv12,100,85,0,1.0,24.8792991232872,0.0,0.0,0.0,,,,,,,,47.89910654138037
