attack,is_succ,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,file_name,csv_name,dataset_name,model_name,x_test_size,correct_size,adv_size,success_rate,second_image,avg_l2,avg_l1,avg_linf,avg_mse,avg_uqi,avg_ergas,avg_sam,avg_scc,avg_vifp,avg_rase,avg_psnrb
zoo,True,10,110,500,,,,,,,,,,,,zoo11010.0_succ,gen_list_zoo,cifar,conv12,100,85,63,7.411764705882353e-01,33.81675495862961,0.6843947426287512,12.045307523246917,0.05713484634723834,0.00019791766537685188,0.9988790508597594,1454.965786189145,0.025127285778124238,0.9158464601664841,0.9998151215841544,209.6333594157256,37.69239243871645
zoo,False,10,110,500,,,,,,,,,,,,zoo11010.0_miss,gen_list_zoo,cifar,conv12,100,85,22,0.7411764705882353,33.81675495862961,0.3455909617131031,6.427824370747761,0.02999491701417216,0.00011814539236979509,0.9993988526773862,,0.010333308289711749,0.9420799081906797,0.9995298600394155,,37.69239243871645
zoo,True,10,120,500,,,,,,,,,,,,zoo12010.0_succ,gen_list_zoo,cifar,conv12,100,85,73,0.8588235294117647,36.72896924972534,0.7861566652628723,14.52147331779502,0.06368938040107354,0.00026297033216019357,0.9985279849068012,1653.595418615806,0.02826651734157739,0.8942130681072529,0.9995546894690472,238.39140137805504,36.37255100829432
zoo,False,10,120,500,,,,,,,,,,,,zoo12010.0_miss,gen_list_zoo,cifar,conv12,100,85,12,0.8588235294117647,36.72896924972534,0.35892431496738436,6.435715699288079,0.03249337338154612,0.00014307266449863431,0.999320203793537,711.6558254650299,0.010794861767440975,0.9691244429075002,0.9950648171705813,102.77500427939475,36.37255100829432
zoo,True,10,130,500,,,,,,,,,,,,zoo13010.0_succ,gen_list_zoo,cifar,conv12,100,85,75,0.8823529411764706,39.65387356758118,0.8595882220407265,16.417311712274763,0.06772311926706168,0.0003271481209919959,0.99827783828143,1811.7124964317707,0.03126896824309782,0.8973061368838912,1.0005035979842754,261.0546863523925,36.08874228764842
zoo,False,10,130,500,,,,,,,,,,,,zoo13010.0_miss,gen_list_zoo,cifar,conv12,100,85,10,0.8823529411764706,39.65387356758118,0.7062426473383226,13.759903933293572,0.05899067031694394,0.0002893801385250038,0.9987100680358247,,0.021443521094395207,0.8832151645287416,0.9960252941007972,,36.08874228764842
zoo,True,10,140,500,,,,,,,,,,,,zoo14010.0_succ,gen_list_zoo,cifar,conv12,100,85,78,0.9176470588235294,42.43948551416397,0.8560430392120721,16.194456240961983,0.06806632931404616,0.000317466584059209,0.9984061397919846,1839.4248806972469,0.031265318259440726,0.8992303926282892,1.0001798686281758,264.91749626419704,36.04629216472974
zoo,False,10,140,500,,,,,,,,,,,,zoo14010.0_miss,gen_list_zoo,cifar,conv12,100,85,7,0.9176470588235294,42.43948551416397,0.8564824829241812,16.13514169527568,0.07427414228268361,0.00031019761534802754,0.999249736026463,,0.02093697823993969,0.8361205720977705,0.9930570353075481,,36.04629216472974
zoo,True,10,150,500,,,,,,,,,,,,zoo15010.0_succ,gen_list_zoo,cifar,conv12,100,85,78,0.9176470588235294,45.71008771657944,0.8539093618704922,16.222726141527268,0.06781072213107046,0.0003183127425408665,0.9982950948765082,1831.0681544776774,0.03100316858088146,0.8981927406492002,1.0003129574360068,263.87824587499915,36.01757631427418
zoo,False,10,150,500,,,,,,,,,,,,zoo15010.0_miss,gen_list_zoo,cifar,conv12,100,85,7,0.9176470588235294,45.71008771657944,1.2554244966715724,24.744388385025225,0.10712220547746877,0.0005671914871148623,0.9983679352374443,,0.034527768020604914,0.8073751575302194,0.9923592626905187,,36.01757631427418
zoo,True,10,160,500,,,,,,,,,,,,zoo16010.0_succ,gen_list_zoo,cifar,conv12,100,85,80,0.9411764705882353,48.59693720579148,0.9068729821119881,17.514253038164135,0.07098926432722927,0.00035754633700809887,0.9982058577847877,1894.8443519510051,0.03257260821597983,0.8920042664367399,0.9989441106874226,273.1626322070805,35.47956816761674
zoo,False,10,160,500,,,,,,,,,,,,zoo16010.0_miss,gen_list_zoo,cifar,conv12,100,85,5,0.9411764705882353,48.59693720579148,0.8125057415033897,15.222394154918039,0.07398595876553478,0.00028573133223416266,0.9987047572466254,,0.021438622434020897,0.81963086124319,0.998807218993338,,35.47956816761674
zoo,True,10,170,500,,,,,,,,,,,,zoo17010.0_succ,gen_list_zoo,cifar,conv12,100,85,80,0.9411764705882353,51.62736388206482,0.9077126027762225,17.700274592352375,0.07086446047924899,0.00036875772959818806,0.998201153812883,1871.2086216982934,0.03229762784702468,0.8878254395293628,0.9999976339695296,269.59860363030754,35.57827148717671
zoo,False,10,170,500,,,,,,,,,,,,zoo17010.0_miss,gen_list_zoo,cifar,conv12,100,85,5,0.9411764705882353,51.62736388206482,1.2316564469261464,24.042958180250093,0.10397634838141649,0.0005642199914503638,0.997451015349619,2487.6082087531768,0.03709414722651654,0.820769664676325,0.9893503535727367,357.9626870834835,35.57827148717671
