attack,is_succ,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,file_name,csv_name,dataset_name,model_name,x_test_size,correct_size,adv_size,success_rate,second_image,avg_l2,avg_l1,avg_linf,avg_mse,avg_uqi,avg_ergas,avg_sam,avg_scc,avg_vifp,avg_rase,avg_psnrb
uni,True,,100,500,0.1,,0.9,inf,,,,,,,,uni0.11000.9inf_succ,gen_list_uni,cifar,conv12,100,85,31,0.36470588235294116,0.9015342998504638,1.199432230453175,47.24514473780641,0.09998436044244215,0.00046836736076913003,0.9976530488253003,2805.5255233229373,0.04293314665216588,0.8377740982486188,0.9988726260599734,403.4073428673268,32.04622337257355
uni,False,,100.0,500,0.1,,0.9,inf,,,,,,,,uni0.11000.9inf_miss,gen_list_uni,cifar,conv12,100,85,54,0.36470588235294116,0.9015342998504638,1.195911050954123,47.07267971073987,0.09998100222931805,0.00046566644763676126,0.997011302816283,2935.5022494739474,0.04541959671260564,0.8599825197563538,0.9986669025841782,421.6042827300593,32.04622337257355
uni,True,,100.0,500,0.1,,0.7,inf,,,,,,,,uni0.11000.7inf_succ,gen_list_uni,cifar,conv12,100,85,41,0.4823529411764706,1.192503650188446,1.4226137774603567,56.07647843322721,0.10000000000000006,0.0006588811639146517,0.996208391946208,3381.6561512392022,0.05159868555350682,0.815941888291736,0.9952214768221838,486.8285671050859,31.665327379205465
uni,False,,100.0,500,0.1,,0.7,inf,,,,,,,,uni0.11000.7inf_miss,gen_list_uni,cifar,conv12,100,85,44,0.4823529411764706,1.192503650188446,1.414068292789038,55.56626807575405,0.10000000000000003,0.0006514578923492711,0.9961166842060964,3376.96524334491,0.053628989490469854,0.8294157244451043,0.9930421489327739,485.6949380900294,31.665327379205465
uni,True,,100.0,500,0.1,,0.9,2.0,,,,,,,,uni0.11000.92.0_succ,gen_list_uni,cifar,conv12,100,85,1,0.011764705882352941,133.91306676626206,0.09999990291454501,3.766742190018675,0.009835199446007692,3.255202012668759e-06,0.9999930216852259,152.66925429001554,0.0027942743033537603,0.9992434125268131,1.0000065893727303,22.05356957166218,23.845600742724603
uni,False,,100.0,500,0.1,,0.9,2.0,,,,,,,,uni0.11000.92.0_miss,gen_list_uni,cifar,conv12,100,85,84,0.011764705882352941,133.91306676626206,0.09973322477053094,3.7440203524921407,0.009835199446007728,3.2382271814046336e-06,0.9999754287468656,237.4029032007455,0.0037397747897670967,0.9949635235179964,0.9999663185800739,34.131113545342544,23.845600742724603
uni,True,,100.0,500,0.1,,0.5,2.0,,,,,,,,uni0.11000.52.0_succ,gen_list_uni,cifar,conv12,100,85,0,0.0,415.1709021687508,0.0,0.0,0.0,,,,,,,,
uni,False,,100.0,500,0.1,,0.5,2.0,,,,,,,,uni0.11000.52.0_miss,gen_list_uni,cifar,conv12,100,85,85,0.0,415.1709021687508,0.09966294666681265,4.091066294982565,0.010094272880747032,3.2338771957636947e-06,0.9999778782594687,229.19739583727656,0.0037307951023896383,0.9928687475207205,1.0000308952221866,32.973735645215314,
uni,True,,100.0,500,0.1,,0.3,2.0,,,,,,,,uni0.11000.32.0_succ,gen_list_uni,cifar,conv12,100,85,0,0.0,133.37034298658372,0.0,0.0,0.0,,,,,,,,
uni,False,,100.0,500,0.1,,0.3,2.0,,,,,,,,uni0.11000.32.0_miss,gen_list_uni,cifar,conv12,100,85,85,0.0,133.37034298658372,0.09975445597368883,3.7364579385900565,0.010433000092241768,3.2395432001276924e-06,0.9999756004691949,240.44110021208192,0.003735923580261043,0.9952057160715797,1.0000313629048823,34.574009505931635,
