attack,is_succ,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,csv_name,file_name,dataset_name,model_name,x_test_size,correct_size,adv_size,success_rate,second_image,avg_l2,avg_l1,avg_linf,avg_mse,avg_uqi,avg_ergas,avg_sam,avg_scc,avg_vifp,avg_rase,avg_psnrb
bim,True,,,500,0.1,0.1,,,,,,,,,,,bim0.10.1_succ,cifar,conv12,100,85,85,1.0,0.2641662240028381,4.466675494698917,202.64519007065718,0.10000002384185791,0.0064982580688647835,0.974803607825909,9405.055331362684,0.16606793455041474,0.4904834576109889,0.9699601277317272,1354.1234453405348,21.74758635048311
bim,False,,,500,0.1,0.1,,,,,,,,,,,bim0.10.1_miss,cifar,conv12,100,85,0,1.0,0.2641662240028381,0.0,0.0,0.0,,,,,,,,21.74758635048311
bim,True,,,500,0.1,0.3,,,,,,,,,,,bim0.10.3_succ,cifar,conv12,100,85,77,0.9058823529411765,0.04219777345657349,5.4088905693648694,296.00925752714085,0.10000002384185791,0.009538028862213256,0.968112755850216,10849.18139553887,0.1924048880500945,0.4264625483599632,0.9620121774829418,1563.076775717515,20.12091521866545
bim,False,,,500,0.1,0.3,,,,,,,,,,,bim0.10.3_miss,cifar,conv12,100,85,8,0.9058823529411765,0.04219777345657349,5.428807616233826,298.05615997314453,0.10000002384185791,0.009601640546866479,0.9312723601082736,16485.798225351464,0.2790930337059355,0.38668388102121115,0.9735827962402194,2362.4973120939476,20.12091521866545
bim,True,,,500,0.1,0.5,,,,,,,,,,,bim0.10.5_succ,cifar,conv12,100,85,77,0.9058823529411765,0.04187350034713745,5.4088905693648694,296.00925752714085,0.10000002384185791,0.009538028862213256,0.968112755850216,10849.18139553887,0.1924048880500945,0.4264625483599632,0.9620121774829418,1563.076775717515,20.12091521866545
bim,False,,,500,0.1,0.5,,,,,,,,,,,bim0.10.5_miss,cifar,conv12,100,85,8,0.9058823529411765,0.04187350034713745,5.428807616233826,298.05615997314453,0.10000002384185791,0.009601640546866479,0.9312723601082736,16485.798225351464,0.2790930337059355,0.38668388102121115,0.9735827962402194,2362.4973120939476,20.12091521866545
bim,True,,,500,0.1,0.7,,,,,,,,,,,bim0.10.7_succ,cifar,conv12,100,85,77,0.9058823529411765,0.041852338314056395,5.4088905693648694,296.00925752714085,0.10000002384185791,0.009538028862213256,0.968112755850216,10849.18139553887,0.1924048880500945,0.4264625483599632,0.9620121774829418,1563.076775717515,20.12091521866545
bim,False,,,500,0.1,0.7,,,,,,,,,,,bim0.10.7_miss,cifar,conv12,100,85,8,0.9058823529411765,0.041852338314056395,5.428807616233826,298.05615997314453,0.10000002384185791,0.009601640546866479,0.9312723601082736,16485.798225351464,0.2790930337059355,0.38668388102121115,0.9735827962402194,2362.4973120939476,20.12091521866545
bim,True,,,500,0.1,0.9,,,,,,,,,,,bim0.10.9_succ,cifar,conv12,100,85,77,0.9058823529411765,0.041710755825042724,5.4088905693648694,296.00925752714085,0.10000002384185791,0.009538028862213256,0.968112755850216,10849.18139553887,0.1924048880500945,0.4264625483599632,0.9620121774829418,1563.076775717515,20.12091521866545
bim,False,,,500,0.1,0.9,,,,,,,,,,,bim0.10.9_miss,cifar,conv12,100,85,8,0.9058823529411765,0.041710755825042724,5.428807616233826,298.05615997314453,0.10000002384185791,0.009601640546866479,0.9312723601082736,16485.798225351464,0.2790930337059355,0.38668388102121115,0.9735827962402194,2362.4973120939476,20.12091521866545
bim,True,,,500,0.1,0.01,,,,,,,,,,,bim0.10.01_succ,cifar,conv12,100,85,85,1.0,0.04173857927322388,4.06803362790276,200.35981247845817,0.10000002384185791,0.005396728388612455,0.9789792357042412,8454.979063673285,0.15145810118963504,0.5348896337015523,0.9844267990791573,1217.0191555443084,22.46556763228622
bim,False,,,500,0.1,0.01,,,,,,,,,,,bim0.10.01_miss,cifar,conv12,100,85,0,1.0,0.04173857927322388,0.0,0.0,0.0,,,,,,,,22.46556763228622
bim,True,,,500,0.1,0.03,,,,,,,,,,,bim0.10.03_succ,cifar,conv12,100,85,85,1.0,0.041681218147277835,4.181634305505192,209.71769283519072,0.10000002384185791,0.005697989028548102,0.97767214639624,8753.793902787977,0.15573942021067963,0.5098790488060638,0.9617998925974537,1260.0631090824618,22.215652995255216
bim,False,,,500,0.1,0.03,,,,,,,,,,,bim0.10.03_miss,cifar,conv12,100,85,0,1.0,0.041681218147277835,0.0,0.0,0.0,,,,,,,,22.215652995255216
bim,True,,,500,0.1,0.05,,,,,,,,,,,bim0.10.05_succ,cifar,conv12,100,85,85,1.0,0.04159646987915039,4.17098450941198,203.38486256318933,0.10000002384185791,0.005667190201221064,0.9777765334144005,8732.699550786212,0.1554243396894575,0.5073645882451585,0.9577780278884016,1257.17756151304,22.303012775760216
bim,False,,,500,0.1,0.05,,,,,,,,,,,bim0.10.05_miss,cifar,conv12,100,85,0,1.0,0.04159646987915039,0.0,0.0,0.0,,,,,,,,22.303012775760216
bim,True,,,500,0.1,0.07,,,,,,,,,,,bim0.10.07_succ,cifar,conv12,100,85,85,1.0,0.041590964794158934,4.21891248366412,208.9842981675092,0.10000002384185791,0.005797419758365773,0.9773312733400628,8843.349933326066,0.15717492513921225,0.5075343501103626,0.9630037557341375,1272.9660662999665,22.213294568527377
bim,False,,,500,0.1,0.07,,,,,,,,,,,bim0.10.07_miss,cifar,conv12,100,85,0,1.0,0.041590964794158934,0.0,0.0,0.0,,,,,,,,22.213294568527377
bim,True,,,500,0.1,0.09,,,,,,,,,,,bim0.10.09_succ,cifar,conv12,100,85,85,1.0,0.04166300535202026,4.332732242696426,204.48744399126838,0.10000002384185791,0.006113995038582759,0.9760911974096943,9105.895569866912,0.16134339101595846,0.5010021608074305,0.97145843953908,1311.3090875279195,21.990291029998595
bim,False,,,500,0.1,0.09,,,,,,,,,,,bim0.10.09_miss,cifar,conv12,100,85,0,1.0,0.04166300535202026,0.0,0.0,0.0,,,,,,,,21.990291029998595
bim,True,,,500,0.1,1,,,,,,,,,,,bim0.10.001_succ,cifar,conv12,100,85,85,1.0,0.041932406425476076,2.288131896187277,102.37274071188534,0.09997623895897585,0.0017243607192693258,0.9927681252369414,4705.216139158321,0.08577010990485778,0.7238732507036403,0.9935171779239457,677.12591254385,27.04050838225963
bim,False,,,500,0.1,1,,,,,,,,,,,bim0.10.001_miss,cifar,conv12,100,85,0,1.0,0.041932406425476076,0.0,0.0,0.0,,,,,,,,27.04050838225963
bim,True,,,500,0.1,3,,,,,,,,,,,bim0.10.003_succ,cifar,conv12,100,85,85,1.0,0.043361496925354,3.4459715141969567,160.44500624712776,0.10000002384185791,0.0038951678349024702,0.984778466475613,7053.797482923989,0.12871806934264451,0.6030193738079114,0.996465259425988,1015.3808045041437,23.8176654154914
bim,False,,,500,0.1,3,,,,,,,,,,,bim0.10.003_miss,cifar,conv12,100,85,0,1.0,0.043361496925354,0.0,0.0,0.0,,,,,,,,23.8176654154914
bim,True,,,500,0.1,5,,,,,,,,,,,bim0.10.005_succ,cifar,conv12,100,85,85,1.0,0.048216819763183594,3.7682967634762035,180.1394915412454,0.10000002384185791,0.004641333736334332,0.981930949032016,7770.0125911484865,0.140558510441013,0.5684507272337129,0.9916462578338162,1118.367075722064,23.042758097564015
bim,False,,,500,0.1,5,,,,,,,,,,,bim0.10.005_miss,cifar,conv12,100,85,0,1.0,0.048216819763183594,0.0,0.0,0.0,,,,,,,,23.042758097564015
bim,True,,,500,0.1,7,,,,,,,,,,,bim0.10.007_succ,cifar,conv12,100,85,85,1.0,0.04822979927062988,3.9338169294245104,190.962939453125,0.10000002384185791,0.005051469503597835,0.9804169740399616,8135.630160024122,0.14659260405374291,0.5500970644099779,0.9861852481416824,1171.0478236272197,22.693165052615008
bim,False,,,500,0.1,7,,,,,,,,,,,bim0.10.007_miss,cifar,conv12,100,85,0,1.0,0.04822979927062988,0.0,0.0,0.0,,,,,,,,22.693165052615008
