attack,is_succ,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,csv_name,file_name,csv_name,dataset_name,model_name,x_test_size,correct_size,adv_size,success_rate,second_image,avg_l2,avg_l1,avg_linf,avg_mse,avg_uqi,avg_ergas,avg_sam,avg_scc,avg_vifp,avg_rase,avg_psnrb
elastic,True,0,10,500,,,,,,,,,,,,,elastic100.0_succ,gen_list_elastic,cifar,conv12,100,85,85,1.0,2.789820122718811,0.14689072694463162,2.8832324690304945,0.027968339645824774,9.715578636087253e-06,0.9999443576264947,325.0159919615129,0.005348506512149938,0.9949698764171588,0.9994987402954624,46.69419555098899,48.51896093682504
elastic,False,0,10.0,500,,,,,,,,,,,,,elastic100.0_miss,gen_list_elastic,cifar,conv12,100,85,0,1.0,2.789820122718811,0.0,0.0,0.0,,,,,,,,48.51896093682504
elastic,True,0,30.0,500,,,,,,,,,,,,,elastic300.0_succ,gen_list_elastic,cifar,conv12,100,85,85,1.0,8.005548837184906,0.1547018814213592,2.6707754975985303,0.033356749835448826,1.0746257694234332e-05,0.9999414592066437,332.6834386747255,0.005579673613192421,0.9949726209431664,0.9994841642765938,47.783804734748465,48.1815146592758
elastic,False,0,30.0,500,,,,,,,,,,,,,elastic300.0_miss,gen_list_elastic,cifar,conv12,100,85,0,1.0,8.005548837184906,0.0,0.0,0.0,,,,,,,,48.1815146592758
elastic,True,0,50.0,500,,,,,,,,,,,,,elastic500.0_succ,gen_list_elastic,cifar,conv12,100,85,85,1.0,13.351967825889588,0.15802910665721703,2.699989425634086,0.0345919197550282,1.1207488418103878e-05,0.9999363278899789,342.34255906186456,0.005697879519795358,0.9949605620407751,0.9994757484744284,49.176252061836735,48.04569443320782
elastic,False,0,50.0,500,,,,,,,,,,,,,elastic500.0_miss,gen_list_elastic,cifar,conv12,100,85,0,1.0,13.351967825889588,0.0,0.0,0.0,,,,,,,,48.04569443320782
elastic,True,0,70.0,500,,,,,,,,,,,,,elastic700.0_succ,gen_list_elastic,cifar,conv12,100,85,85,1.0,18.69813134908676,0.15986109329529674,2.681780895450729,0.035987082433123076,1.1411480098707256e-05,0.9999355007834603,345.7997492005058,0.005780932504583904,0.9949361325392688,0.9994108472844083,49.674772005040914,47.97945738105225
elastic,False,0,70.0,500,,,,,,,,,,,,,elastic700.0_miss,gen_list_elastic,cifar,conv12,100,85,0,1.0,18.69813134908676,0.0,0.0,0.0,,,,,,,,47.97945738105225
elastic,True,1,10.0,500,,,,,,,,,,,,,elastic101.0_succ,gen_list_elastic,cifar,conv12,100,85,85,1.0,2.673100996017456,0.14748279186111254,2.763359267810229,0.029197093288241244,9.729641255177083e-06,0.999943913990855,324.3686938940387,0.005362924871050719,0.9952930926455159,0.9995109694630187,46.59508135334267,48.46275029115013
elastic,False,1,10.0,500,,,,,,,,,,,,,elastic101.0_miss,gen_list_elastic,cifar,conv12,100,85,0,1.0,2.673100996017456,0.0,0.0,0.0,,,,,,,,48.46275029115013
elastic,True,1,30.0,500,,,,,,,,,,,,,elastic301.0_succ,gen_list_elastic,cifar,conv12,100,85,85,1.0,8.060498547554015,0.15742076953965134,2.736878897820764,0.033307483606341254,1.1003886372134208e-05,0.9999396123690577,340.20358903683194,0.0056790560890845184,0.9948155093034645,0.999393507917525,48.873061188664906,47.98300688025199
